frame,pessoa_id,confianca,x1,y1,x2,y2
17,1,0.8759,1775,238,2252,1597
17,2,0.8114,720,384,1124,1851
17,3,0.7818,861,606,1434,1867
18,1,0.8574,1754,236,2233,1599
18,2,0.8113,720,383,1123,1851
18,3,0.7805,861,607,1433,1867
19,1,0.8794,1731,238,2211,1595
19,2,0.815,720,383,1126,1852
19,3,0.774,860,606,1432,1867
20,1,0.8786,1698,241,2188,1594
20,2,0.8182,720,384,1127,1852
20,3,0.7834,863,608,1431,1867
21,1,0.88,1670,243,2164,1586
21,2,0.8138,720,384,1126,1853
21,3,0.7767,862,608,1428,1868
22,1,0.864,1655,250,2137,1592
22,2,0.8087,719,385,1124,1853
22,3,0.7838,863,615,1426,1875
23,1,0.8738,1625,254,2111,1595
23,2,0.8071,718,384,1124,1853
23,3,0.7808,861,607,1429,1868
24,1,0.878,1606,256,2103,1596
24,2,0.8096,718,383,1125,1852
24,3,0.7957,861,607,1430,1869
25,1,0.879,1581,258,2097,1607
25,2,0.8159,718,383,1123,1853
25,3,0.7943,861,606,1431,1868
26,1,0.8794,1556,258,2086,1607
26,2,0.8149,718,383,1125,1852
26,3,0.8072,861,606,1430,1868
27,1,0.8897,1527,255,2065,1615
27,2,0.8182,718,382,1131,1851
27,3,0.7975,860,605,1429,1867
28,1,0.8949,1504,249,2039,1600
28,2,0.8155,719,383,1132,1851
28,3,0.7889,860,605,1429,1866
29,1,0.8852,1481,238,2005,1573
29,2,0.8195,719,383,1132,1850
29,3,0.7806,859,605,1427,1866
30,1,0.8624,1465,230,1966,1591
30,2,0.815,719,383,1135,1847
30,3,0.7868,861,607,1427,1864
31,1,0.8707,1440,228,1927,1569
31,2,0.8223,719,383,1136,1848
31,3,0.8015,862,609,1427,1863
32,1,0.8341,1421,227,1888,1547
32,2,0.8205,718,383,1136,1846
32,3,0.7971,862,610,1429,1862
33,1,0.8475,1395,224,1879,1577
33,2,0.8217,718,383,1136,1847
33,3,0.803,862,610,1428,1862
34,1,0.8205,717,383,1135,1847
34,2,0.8031,862,611,1426,1862
35,1,0.8309,1351,226,1829,1626
35,2,0.8189,717,383,1134,1846
35,3,0.8098,863,613,1427,1862
36,1,0.8719,1329,232,1819,1574
36,2,0.826,718,383,1138,1847
36,3,0.817,865,610,1425,1868
37,1,0.8529,1306,232,1797,1592
37,2,0.8276,868,607,1426,1871
37,3,0.8175,717,383,1139,1843
38,1,0.8571,1290,236,1790,1632
38,2,0.8191,870,611,1422,1872
38,3,0.8174,717,383,1140,1843
39,1,0.8522,1270,242,1767,1582
39,2,0.8196,717,383,1140,1844
39,3,0.8118,868,615,1421,1864
40,1,0.8558,1250,240,1750,1572
40,2,0.8162,717,383,1137,1844
40,3,0.8038,869,617,1416,1865
41,1,0.8253,1235,238,1727,1547
41,2,0.8049,716,382,1138,1844
41,3,0.7964,868,617,1415,1868
42,1,0.8348,1213,228,1705,1531
42,2,0.7975,716,382,1135,1844
42,3,0.7961,866,617,1413,1867
43,1,0.8276,1190,222,1685,1547
43,2,0.7517,875,613,1405,1872
44,1,0.8136,1167,214,1674,1526
44,2,0.7378,875,613,1404,1874
46,1,0.7618,716,382,1156,1845
46,2,0.7082,1130,200,1636,1517
46,3,0.7025,866,604,1426,1866
47,1,0.7664,716,383,1147,1845
47,2,0.7184,868,606,1428,1865
47,3,0.7086,1112,195,1581,1514
48,1,0.8041,1094,191,1609,1469
48,2,0.7715,715,384,1125,1842
48,3,0.7384,866,605,1423,1865
49,1,0.7841,715,387,1150,1842
49,2,0.7567,867,609,1411,1866
49,3,0.7502,1087,192,1573,1498
50,1,0.7723,715,386,1149,1844
50,2,0.7425,867,605,1417,1863
50,3,0.73,1079,191,1575,1493
51,1,0.7926,715,384,1142,1841
51,2,0.7541,1079,201,1567,1502
51,3,0.7534,866,607,1419,1862
52,1,0.7872,714,386,1140,1842
52,2,0.7471,865,604,1426,1863
53,1,0.7917,714,386,1134,1843
53,2,0.7429,864,601,1421,1863
54,1,0.7911,714,386,1136,1842
54,2,0.7249,865,602,1427,1863
55,1,0.7893,714,385,1133,1848
55,2,0.7026,863,602,1452,1864
56,1,0.7692,714,386,1132,1848
56,2,0.7123,865,603,1464,1864
57,1,0.738,713,390,1154,1852
57,2,0.7223,865,601,1460,1864
58,1,0.7461,865,602,1451,1863
58,2,0.7425,713,387,1137,1853
59,1,0.7635,868,610,1422,1874
59,2,0.7021,713,391,1134,1853
60,1,0.7718,869,608,1418,1869
61,1,0.7789,863,606,1419,1865
62,1,0.7476,863,593,1421,1867
63,1,0.8063,865,606,1426,1859
63,2,0.7578,3681,399,3839,1804
64,1,0.8208,864,610,1425,1860
64,2,0.8167,3654,393,3839,1804
65,1,0.8471,3642,395,3839,1807
65,2,0.8321,864,611,1426,1861
65,3,0.7224,715,184,1216,1852
66,1,0.8621,3616,404,3839,1796
66,2,0.8171,864,599,1425,1859
66,3,0.7318,702,185,1176,1850
67,1,0.8609,3601,407,3839,1795
67,2,0.8132,866,589,1426,1858
68,1,0.8627,3584,420,3839,1769
68,2,0.8138,866,598,1427,1858
69,1,0.8467,3565,415,3839,1775
69,2,0.8198,868,609,1426,1856
69,3,0.7186,654,364,1142,1843
70,1,0.8835,3539,423,3839,1797
70,2,0.8224,868,606,1426,1856
71,1,0.8896,3516,427,3838,1802
71,2,0.8324,866,604,1425,1855
72,1,0.9105,3490,430,3839,1798
72,2,0.823,863,605,1425,1855
73,1,0.9089,3468,426,3839,1801
73,2,0.8128,861,602,1425,1855
74,1,0.9055,3448,424,3838,1799
74,2,0.8037,862,603,1425,1855
75,1,0.9062,3427,419,3837,1789
75,2,0.8033,864,604,1425,1855
75,3,0.7386,494,183,912,1475
76,1,0.8908,3404,419,3823,1783
76,2,0.8051,861,603,1425,1855
76,3,0.7745,475,173,902,1478
77,1,0.8623,3382,413,3792,1787
77,2,0.8083,863,600,1424,1855
77,3,0.7763,455,173,897,1463
78,1,0.8715,3363,410,3763,1787
78,2,0.7988,860,603,1424,1856
78,3,0.7438,430,166,872,1459
79,1,0.8711,3348,406,3756,1785
79,2,0.8165,863,604,1425,1857
79,3,0.7018,409,164,861,1462
80,1,0.8751,3326,407,3731,1791
80,2,0.822,862,604,1425,1857
80,3,0.7865,385,161,832,1464
81,1,0.8724,3273,416,3706,1782
81,2,0.8119,371,158,803,1462
81,3,0.8018,857,606,1425,1857
82,1,0.8939,3204,418,3699,1788
82,2,0.8354,341,164,782,1465
82,3,0.8233,859,606,1425,1858
82,4,0.7283,682,369,1137,1794
83,1,0.8956,3155,421,3673,1779
83,2,0.8393,325,166,754,1473
83,3,0.8163,859,606,1425,1856
83,4,0.7241,696,369,1135,1797
84,1,0.8918,3142,425,3662,1778
84,2,0.85,295,169,731,1461
84,3,0.8043,857,605,1425,1855
84,4,0.7212,707,372,1130,1798
85,1,0.8917,3156,429,3654,1780
85,2,0.8645,223,173,702,1458
85,3,0.7917,857,605,1425,1852
85,4,0.713,709,373,1128,1807
86,1,0.892,3157,427,3648,1778
86,2,0.875,188,177,686,1458
86,3,0.8152,858,604,1426,1854
86,4,0.7196,707,361,1119,1845
87,1,0.8849,199,183,682,1461
87,2,0.8843,3146,426,3634,1779
87,3,0.8323,859,604,1425,1855
87,4,0.7286,705,367,1121,1846
88,1,0.8875,3118,421,3607,1779
88,2,0.8804,199,182,685,1467
88,3,0.8235,859,605,1426,1855
88,4,0.735,707,371,1122,1845
89,1,0.8885,3101,414,3558,1758
89,2,0.8775,179,177,679,1458
89,3,0.8159,857,606,1426,1855
89,4,0.7416,706,374,1118,1847
90,1,0.8846,3072,405,3511,1754
90,2,0.8831,149,169,658,1452
90,3,0.8274,857,606,1426,1857
90,4,0.7634,705,374,1119,1845
91,1,0.8822,3054,402,3467,1755
91,2,0.8731,130,164,615,1449
91,3,0.8342,858,606,1426,1858
91,4,0.7902,705,376,1119,1844
92,1,0.8819,105,158,577,1429
92,2,0.8586,3027,397,3442,1757
92,3,0.8341,857,607,1426,1857
92,4,0.803,706,377,1116,1843
93,1,0.8952,82,157,535,1417
93,2,0.8506,3006,400,3416,1769
93,3,0.8303,861,608,1427,1857
93,4,0.7995,705,377,1117,1844
94,1,0.8735,48,145,477,1402
94,2,0.8531,2979,398,3396,1775
94,3,0.8246,858,607,1427,1856
94,4,0.8103,705,379,1122,1845
95,1,0.8852,29,144,427,1398
95,2,0.8614,2974,401,3380,1795
95,3,0.8335,861,607,1427,1856
95,4,0.8237,705,379,1123,1844
96,1,0.897,1,142,405,1379
96,2,0.875,2950,407,3360,1779
96,3,0.8324,861,606,1427,1856
96,4,0.8175,704,379,1123,1842
97,1,0.8828,0,143,378,1417
97,2,0.8761,2934,416,3344,1784
97,3,0.8285,861,606,1426,1856
97,4,0.8226,704,379,1120,1843
98,1,0.871,0,147,355,1403
98,2,0.8658,2916,423,3315,1772
98,3,0.8217,703,378,1120,1845
98,4,0.8129,859,604,1425,1858
99,1,0.8812,2894,425,3306,1766
99,2,0.8647,0,158,331,1418
99,3,0.8212,704,377,1119,1844
99,4,0.8125,859,604,1425,1858
100,1,0.8764,2882,427,3290,1765
100,2,0.8699,0,166,312,1386
100,3,0.8191,705,379,1118,1844
100,4,0.8169,861,604,1424,1855
101,1,0.876,2866,422,3272,1774
101,2,0.873,0,169,305,1404
101,3,0.8194,706,379,1118,1843
101,4,0.8161,862,604,1424,1855
102,1,0.8643,2842,419,3257,1792
102,2,0.8642,0,180,304,1414
102,3,0.8136,706,379,1116,1842
102,4,0.8079,860,602,1425,1858
103,1,0.8595,0,181,294,1410
103,2,0.8533,2826,407,3232,1829
103,3,0.8227,706,378,1117,1843
103,4,0.8067,862,603,1426,1858
104,1,0.8321,0,173,271,1394
104,2,0.8227,706,378,1119,1843
104,3,0.8053,864,605,1426,1860
105,1,0.8218,704,378,1119,1845
105,2,0.7901,863,604,1427,1858
105,3,0.7572,2794,391,3200,1493
106,1,0.847,2779,383,3183,1690
106,2,0.826,704,379,1119,1848
106,3,0.7772,863,605,1427,1859
106,4,0.7266,0,195,141,1173
107,1,0.8464,2765,383,3167,1695
107,2,0.8314,704,379,1120,1847
107,3,0.7962,865,608,1427,1861
108,1,0.8739,2752,373,3153,1713
108,2,0.8346,704,380,1123,1848
108,3,0.8095,867,610,1430,1858
109,1,0.84,704,380,1124,1849
109,2,0.8107,869,610,1431,1857
109,3,0.7025,2732,373,3139,1709
110,1,0.8412,704,380,1125,1848
110,2,0.8024,867,609,1430,1859
111,1,0.8437,704,379,1126,1850
111,2,0.8033,868,610,1433,1857
112,1,0.842,705,379,1126,1850
112,2,0.8238,2616,377,3080,1686
112,3,0.8129,869,609,1433,1857
113,1,0.8389,706,379,1127,1851
113,2,0.8253,871,609,1434,1858
113,3,0.7945,2586,388,3062,1684
114,1,0.8413,707,378,1128,1851
114,2,0.8271,873,610,1435,1858
114,3,0.8226,2565,391,3044,1682
115,1,0.8452,2576,395,3024,1693
115,2,0.8431,708,378,1129,1851
115,3,0.8314,873,611,1435,1860
116,1,0.8617,2589,388,3000,1688
116,2,0.8449,710,378,1132,1851
116,3,0.8305,875,612,1438,1861
117,1,0.8702,2576,385,2974,1693
117,2,0.8443,712,379,1133,1850
117,3,0.8292,878,613,1440,1860
118,1,0.8612,2560,379,2959,1697
118,2,0.8451,712,379,1133,1849
118,3,0.8288,879,612,1439,1860
119,1,0.87,2540,371,2938,1681
119,2,0.8454,713,379,1132,1849
119,3,0.8342,879,611,1438,1860
120,1,0.8781,2518,368,2921,1681
120,2,0.8463,715,379,1133,1850
120,3,0.8211,880,611,1438,1860
121,1,0.8541,2503,361,2906,1681
121,2,0.8452,716,380,1133,1851
121,3,0.8115,880,611,1438,1860
122,1,0.8581,2490,355,2879,1683
122,2,0.8443,716,380,1134,1847
122,3,0.8314,878,611,1440,1860
123,1,0.8624,2469,353,2866,1667
123,2,0.8434,717,381,1135,1847
123,3,0.8178,879,611,1440,1860
124,1,0.8637,2451,350,2853,1676
124,2,0.8441,717,381,1135,1849
124,3,0.8121,879,611,1440,1859
125,1,0.8613,2438,352,2836,1675
125,2,0.8403,717,382,1134,1847
125,3,0.8365,876,609,1439,1861
126,1,0.8711,2422,353,2823,1675
126,2,0.8383,874,610,1439,1860
126,3,0.8366,717,383,1134,1846
127,1,0.8696,2410,361,2812,1674
127,2,0.8427,874,609,1440,1860
127,3,0.8349,718,382,1133,1846
128,1,0.882,2398,364,2797,1673
128,2,0.8444,873,609,1440,1860
128,3,0.8336,718,381,1134,1848
129,1,0.8913,2382,368,2778,1670
129,2,0.8445,873,609,1438,1861
129,3,0.8295,719,380,1132,1848
130,1,0.8908,2367,369,2762,1671
130,2,0.8434,874,610,1438,1861
130,3,0.8262,719,379,1133,1846
131,1,0.8925,2348,373,2747,1675
131,2,0.8515,873,611,1437,1860
131,3,0.8322,719,379,1134,1844
132,1,0.8943,2329,370,2732,1668
132,2,0.8475,872,611,1437,1859
132,3,0.8344,719,379,1133,1844
133,1,0.885,2314,364,2719,1672
133,2,0.8369,871,612,1437,1857
133,3,0.8328,719,379,1133,1844
134,1,0.8694,2300,350,2699,1665
134,2,0.8306,870,612,1437,1856
134,3,0.8281,719,378,1135,1844
135,1,0.8745,2285,348,2676,1649
135,2,0.83,872,612,1437,1857
135,3,0.8279,720,379,1134,1845
136,1,0.8677,2275,336,2663,1641
136,2,0.8376,873,613,1436,1857
136,3,0.8301,720,379,1136,1845
137,1,0.875,2255,330,2652,1632
137,2,0.8321,872,614,1437,1857
137,3,0.831,720,379,1137,1845
138,1,0.8838,2248,328,2639,1643
138,2,0.8298,720,379,1137,1845
138,3,0.8239,872,614,1439,1857
139,1,0.8813,2231,326,2629,1644
139,2,0.8434,874,613,1441,1859
139,3,0.8329,720,380,1138,1843
140,1,0.8893,2221,325,2613,1657
140,2,0.8438,874,613,1440,1860
140,3,0.8322,719,380,1138,1845
141,1,0.8813,2197,325,2595,1654
141,2,0.8379,872,613,1439,1858
141,3,0.8338,720,379,1137,1844
142,1,0.8807,2144,328,2584,1645
142,2,0.8414,873,613,1440,1858
142,3,0.8345,720,380,1136,1845
143,1,0.8865,2087,332,2565,1648
143,2,0.843,873,614,1441,1860
143,3,0.834,719,379,1137,1847
144,1,0.8867,2064,340,2543,1651
144,2,0.8431,872,615,1440,1860
144,3,0.8341,718,379,1137,1847
145,1,0.8906,2053,346,2526,1650
145,2,0.8405,873,614,1440,1860
145,3,0.8321,718,379,1137,1847
146,1,0.8845,2055,348,2506,1644
146,2,0.8325,718,378,1136,1848
146,3,0.8252,873,613,1439,1858
147,1,0.882,2048,346,2493,1645
147,2,0.8371,873,613,1440,1858
147,3,0.8342,717,378,1136,1847
148,1,0.8856,2046,341,2487,1650
148,2,0.8477,874,614,1440,1859
148,3,0.8343,717,379,1134,1844
149,1,0.8876,2042,332,2480,1647
149,2,0.8413,874,614,1440,1859
149,3,0.8395,717,380,1134,1844
150,1,0.8951,2029,326,2451,1630
150,2,0.8473,878,614,1441,1860
150,3,0.8408,717,381,1133,1844
151,1,0.8955,2017,320,2419,1624
151,2,0.8399,878,613,1439,1861
151,3,0.8381,716,380,1133,1845
152,1,0.893,2000,317,2391,1633
152,2,0.843,717,380,1132,1845
152,3,0.8317,879,614,1441,1860
153,1,0.8972,1983,310,2372,1650
153,2,0.8473,882,614,1442,1863
153,3,0.8425,718,380,1133,1847
154,1,0.8915,1969,308,2353,1601
154,2,0.85,881,614,1442,1865
154,3,0.8434,717,380,1133,1849
155,1,0.8823,1954,307,2340,1596
155,2,0.8462,717,380,1133,1848
155,3,0.8455,883,615,1443,1864
156,1,0.8643,1935,308,2322,1596
156,2,0.846,883,616,1441,1863
156,3,0.8427,717,380,1131,1848
157,1,0.8689,1920,315,2302,1595
157,2,0.8464,885,616,1441,1863
157,3,0.8414,717,380,1131,1847
158,1,0.8718,1913,320,2290,1592
158,2,0.8449,885,616,1441,1863
158,3,0.8421,717,380,1131,1846
159,1,0.8854,1901,323,2281,1596
159,2,0.8423,887,615,1442,1863
159,3,0.8415,717,381,1131,1847
160,1,0.8892,1890,326,2269,1596
160,2,0.844,889,615,1441,1862
160,3,0.8429,718,381,1133,1848
161,1,0.8855,1882,330,2255,1595
161,2,0.8505,889,616,1441,1864
161,3,0.8392,718,382,1133,1848
162,1,0.8813,1869,330,2245,1593
162,2,0.8409,889,618,1442,1862
162,3,0.8393,719,383,1134,1850
163,1,0.8845,1860,332,2236,1598
163,2,0.847,889,619,1442,1863
163,3,0.8426,719,383,1134,1849
164,1,0.8947,1847,327,2224,1590
164,2,0.8436,720,383,1135,1852
164,3,0.8345,893,619,1444,1863
165,1,0.896,1842,316,2209,1584
165,2,0.8444,719,383,1135,1852
165,3,0.802,892,613,1437,1868
166,1,0.8996,1831,304,2198,1573
166,2,0.8433,719,383,1136,1852
166,3,0.7953,894,612,1440,1868
167,1,0.9006,1820,297,2192,1556
167,2,0.8406,721,383,1137,1851
167,3,0.8204,895,618,1446,1864
168,1,0.8938,1816,291,2186,1553
168,2,0.8408,721,384,1138,1851
168,3,0.8322,899,618,1447,1865
169,1,0.8952,1806,286,2176,1554
169,2,0.846,897,617,1446,1865
169,3,0.8376,722,384,1139,1849
170,1,0.8942,1797,283,2168,1549
170,2,0.844,898,617,1446,1865
170,3,0.8388,722,382,1139,1851
171,1,0.8827,1792,284,2162,1549
171,2,0.8417,899,618,1447,1864
171,3,0.8381,722,382,1139,1850
172,1,0.8874,1782,282,2154,1547
172,2,0.8373,899,617,1446,1863
172,3,0.8357,722,382,1139,1849
173,1,0.8794,1774,283,2149,1546
173,2,0.8341,898,617,1446,1864
173,3,0.8296,722,382,1140,1848
174,1,0.8742,1760,289,2139,1545
174,2,0.8407,899,617,1445,1864
174,3,0.8312,722,382,1142,1847
175,1,0.8841,1743,292,2125,1542
175,2,0.8295,722,380,1145,1848
175,3,0.8215,901,617,1446,1864
176,1,0.884,1737,295,2112,1544
176,2,0.8293,721,380,1148,1848
176,3,0.8286,901,617,1446,1864
177,1,0.8736,1726,302,2100,1533
177,2,0.8392,902,618,1446,1865
177,3,0.8326,722,380,1149,1848
178,1,0.8849,1711,302,2088,1531
178,2,0.8479,902,619,1447,1866
178,3,0.8357,722,380,1150,1849
179,1,0.8849,1698,291,2072,1527
179,2,0.8374,901,619,1447,1864
179,3,0.837,722,379,1152,1848
180,1,0.8889,1688,280,2064,1524
180,2,0.848,903,620,1450,1865
180,3,0.8407,722,378,1157,1848
181,1,0.8837,1678,277,2052,1521
181,2,0.8524,902,620,1450,1865
181,3,0.8376,722,378,1155,1847
182,1,0.8826,1669,272,2041,1505
182,2,0.8512,904,621,1453,1864
182,3,0.8444,723,377,1157,1848
183,1,0.8915,1658,264,2024,1503
183,2,0.848,723,377,1161,1846
183,3,0.8472,905,622,1454,1863
184,1,0.895,1652,254,2009,1500
184,2,0.8507,723,377,1161,1846
184,3,0.8448,905,623,1454,1863
185,1,0.8952,1642,253,2004,1501
185,2,0.8558,723,375,1164,1847
185,3,0.8401,906,622,1456,1863
186,1,0.8959,1630,255,2000,1501
186,2,0.8516,719,375,1164,1847
186,3,0.8262,907,609,1457,1864
187,1,0.8969,1624,260,1999,1500
187,2,0.8486,718,376,1163,1845
187,3,0.8302,904,620,1456,1860
188,1,0.8958,1615,261,1998,1502
188,2,0.8479,714,375,1166,1846
188,3,0.8278,908,610,1457,1863
189,1,0.8967,1606,267,1999,1501
189,2,0.8564,714,375,1167,1848
189,3,0.8334,909,609,1457,1864
190,1,0.894,1602,272,2000,1500
190,2,0.855,715,373,1168,1848
190,3,0.8029,906,608,1458,1862
191,1,0.8901,1597,274,1993,1500
191,2,0.8508,714,374,1167,1846
191,3,0.8177,907,608,1458,1862
192,1,0.8906,1590,279,1989,1501
192,2,0.8513,715,373,1167,1846
192,3,0.8165,907,607,1458,1863
193,1,0.8826,1582,280,1988,1501
193,2,0.8476,715,374,1167,1846
193,3,0.8325,908,608,1457,1864
194,1,0.8887,1578,276,1983,1501
194,2,0.8482,716,374,1165,1846
194,3,0.8351,908,608,1457,1864
195,1,0.8923,1575,267,1976,1494
195,2,0.8477,715,374,1166,1845
195,3,0.8283,908,608,1458,1864
196,1,0.8981,1566,262,1970,1491
196,2,0.8473,714,375,1164,1846
196,3,0.8367,906,619,1457,1860
197,1,0.8864,1558,253,1964,1476
197,2,0.8465,714,375,1165,1847
197,3,0.8278,904,619,1456,1859
198,1,0.8828,1555,245,1956,1459
198,2,0.8458,713,375,1165,1847
198,3,0.8336,903,619,1456,1859
199,1,0.8887,1550,236,1950,1461
199,2,0.8488,712,376,1167,1848
199,3,0.8273,904,620,1455,1859
200,1,0.8888,1544,233,1941,1459
200,2,0.8443,709,376,1166,1847
200,3,0.8408,905,620,1453,1860
201,1,0.891,1538,228,1932,1458
201,2,0.843,906,618,1451,1859
201,3,0.8426,706,376,1166,1845
202,1,0.8888,1535,227,1920,1451
202,2,0.8442,703,376,1166,1845
202,3,0.8287,905,617,1448,1858
203,1,0.8918,1529,228,1911,1450
203,2,0.8487,701,377,1167,1846
203,3,0.8414,909,608,1448,1863
204,1,0.8891,1517,235,1898,1451
204,2,0.8476,699,377,1165,1847
204,3,0.8473,908,609,1447,1863
205,1,0.8885,1505,236,1888,1457
205,2,0.8486,700,377,1165,1847
205,3,0.8425,908,608,1447,1863
206,1,0.8813,1491,241,1874,1456
206,2,0.8472,699,378,1161,1847
206,3,0.8338,906,609,1446,1863
207,1,0.8804,1480,251,1863,1450
207,2,0.8461,700,377,1160,1846
207,3,0.8308,906,609,1446,1862
208,1,0.8744,1468,249,1847,1449
208,2,0.8487,703,377,1160,1848
208,3,0.8283,906,609,1445,1861
209,1,0.8845,1458,250,1834,1450
209,2,0.8505,705,377,1160,1849
209,3,0.831,906,610,1445,1861
210,1,0.8931,1442,240,1818,1444
210,2,0.8494,706,376,1158,1849
210,3,0.8334,904,609,1444,1860
211,1,0.8956,1427,230,1808,1438
211,2,0.8505,712,375,1159,1849
211,3,0.8281,904,607,1445,1860
212,1,0.886,1413,226,1795,1433
212,2,0.8455,718,375,1157,1850
212,3,0.8286,903,607,1446,1861
213,1,0.8897,1403,224,1783,1417
213,2,0.8472,723,375,1155,1850
213,3,0.8275,900,607,1443,1861
214,1,0.8935,1388,221,1773,1409
214,2,0.8468,727,375,1154,1850
214,3,0.8324,899,607,1439,1861
215,1,0.8912,1376,212,1761,1410
215,2,0.849,730,374,1152,1849
215,3,0.8246,900,606,1435,1861
216,1,0.8818,1362,211,1744,1417
216,2,0.8494,730,373,1148,1849
216,3,0.8246,898,605,1433,1860
217,1,0.8858,1351,213,1735,1417
217,2,0.8539,730,372,1150,1849
217,3,0.8219,899,602,1430,1859
218,1,0.8772,1341,214,1719,1418
218,2,0.854,729,371,1146,1848
218,3,0.8287,900,600,1429,1860
219,1,0.8768,1326,212,1709,1414
219,2,0.8565,729,370,1145,1848
219,3,0.8302,900,596,1429,1861
220,1,0.8654,1314,217,1693,1405
220,2,0.852,727,370,1141,1847
220,3,0.8259,898,593,1427,1861
221,1,0.8762,1309,221,1686,1415
221,2,0.8552,726,367,1141,1848
221,3,0.8196,901,610,1425,1865
222,1,0.8721,1295,225,1671,1418
222,2,0.8555,725,366,1137,1849
222,3,0.8254,903,611,1424,1865
223,1,0.8792,1279,227,1653,1408
223,2,0.8543,724,366,1138,1850
223,3,0.8269,902,614,1423,1866
224,1,0.879,1267,231,1643,1418
224,2,0.852,722,366,1136,1849
224,3,0.8301,902,616,1424,1866
225,1,0.8917,1247,231,1631,1419
225,2,0.848,722,365,1132,1851
225,3,0.8323,903,616,1423,1866
226,1,0.8858,1235,228,1610,1419
226,2,0.8534,720,365,1131,1852
226,3,0.8258,905,614,1421,1867
227,1,0.8568,1216,221,1597,1418
227,2,0.8507,718,364,1129,1853
227,3,0.8119,908,615,1413,1867
228,1,0.8448,716,366,1129,1851
228,2,0.8103,1202,216,1582,1408
228,3,0.8055,909,613,1405,1864
229,1,0.8461,1192,208,1556,1388
229,2,0.8437,716,367,1125,1850
229,3,0.7955,912,614,1400,1864
230,1,0.8437,714,368,1127,1849
230,2,0.8151,1171,204,1537,1375
230,3,0.775,904,601,1395,1859
231,1,0.8402,714,368,1125,1849
231,2,0.7736,902,602,1422,1860
232,1,0.8372,715,368,1120,1851
232,2,0.7725,901,605,1418,1860
233,1,0.8339,716,366,1112,1849
233,2,0.791,904,607,1423,1858
234,1,0.8327,716,366,1107,1848
234,2,0.7974,914,611,1421,1860
235,1,0.8348,717,368,1113,1849
235,2,0.7878,903,599,1421,1859
236,1,0.8337,717,368,1111,1850
236,2,0.7741,903,599,1419,1858
237,1,0.8349,717,368,1113,1852
237,2,0.7867,906,600,1426,1858
238,1,0.8302,718,368,1104,1854
238,2,0.7703,907,596,1426,1858
239,1,0.8284,717,370,1100,1855
239,2,0.7782,909,594,1428,1857
240,1,0.8356,715,368,1112,1857
240,2,0.8115,911,613,1436,1858
241,1,0.8296,714,368,1105,1858
241,2,0.7836,915,607,1445,1858
241,3,0.7024,1037,218,1350,979
242,1,0.8267,919,612,1446,1854
242,2,0.8263,712,368,1117,1854
243,1,0.8014,714,372,1106,1858
243,2,0.7603,920,614,1446,1855
244,1,0.842,930,605,1448,1857
244,2,0.8343,713,369,1103,1854
245,1,0.8388,711,366,1113,1863
245,2,0.8079,927,606,1447,1859
246,1,0.8436,710,366,1110,1864
246,2,0.823,933,609,1453,1862
246,3,0.7433,935,191,1263,732
247,1,0.8333,709,364,1094,1870
247,2,0.8209,935,608,1455,1866
248,1,0.8368,707,366,1099,1871
248,2,0.72,942,598,1461,1869
249,1,0.8292,706,368,1087,1875
250,1,0.8325,703,372,1094,1879
250,2,0.812,947,608,1466,1863
251,1,0.8456,703,372,1091,1879
252,1,0.8437,703,371,1125,1882
